ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
22000,2018014458B,76_49928,2018,D02,ODA Grants,United States,Ukraine,,2.31494,I.5.a. Government & Civil Society-general,Public sector policy and administrative management,Participant Training Program (PtP) in Ukraine,PARTICIPANT TRAINING PROGRAM (PTP) IN UKRAINE,"This project provides training for up to 350 participants over five years in the United States and third countries. The $4.9 million program will focus on improving the political, social, and economic context in the country through tailored trainings, experiential learning activities, seminars, workshops, and study tours for professionals. Recent programming has included study tours to the US and countries in Western Europe on topics such as diversity and tolerance, coordination of education policy and practices, effective support for children with special needs, and pro bono legal services. World Learning is working in partnership with the Ukrainian organization Consortium for Enhancement of Ukrainian Management Education (CEUME) and the non-profit PH International.",No gender component,Not screened,"World Learning, Inc.",Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,"World Learning, Inc.",Other channel,20000,Donor country-based NGO
22000,2013130044,23816824,2018,C01,ODA Grants,Finland,Ethiopia,0.0644467,0.0191538,I.5.a. Government & Civil Society-general,Public sector policy and administrative management,Creating a safe and equitable living and learning environment for children with disabilities in Ethiopia,CREATING A SAFE AND EQUITABLE LIVING AND LEARNING ENVIRONMENT FOR CHILDREN WITH DISABILITIES IN ETHIOPIA,This project is a three-year intervention for creating a safe and equitable living and learning environment for children with disabilities in Bishoftu and Dukem towns. Berhan Lehetsanat is responsible for implementation with Interpedia Finland both child rights organizations with a long experience of working with CwDs.In Ethiopia disability is still a source of social and economic exclusion. Since 2008 BL & Interpedia have initiated disability programs in 12 kebeles of Bishoftu directly reaching over 800 CwDs enabling over 450 CwDs to access rehabilitation over 660 CwDs to access inclusive/special education enhancing capacity of government and community structures to engage in disability creating access to skills trainings constructing a skills training center enhancing income of over 400 families of CwDs enhancing accessibility of schools and increasing community awareness. This project will especially address the last remaining two kebeles of Bishoftu town and three kebeles of Dukem and create a fully functional referral linkage for CwDs.The direct beneficiaries are over 200 CwDs and their parents & 60 CwDs in skills training as well as schools government representatives and community structures. The project will strive to enhance the overall wellbeing and integration of CwDs and their families via improved access to disability prevention and rehabilitation services; to enhance access to quality and inclusive education for CwDs; improved access to inclusive vocational and skills trainings & to increase the commitment and actions of duty bearers and community-based structures in coordinating and mainstreaming disability issues.The projects main strategy is Community Based Rehabilitation along with rehabilitation livelihood & skills trainings awareness raising and building capacities of stakeholders. The project applies the rights based approach building capacities of CwDs and families as rights-holders also supporting capacity of duty bearers to ensure structures resources and mecha¬nisms for accountability are in place. The project will also contribute to reduction of inequality gender equality as well as climate sustainability.,No gender component,Principal disability component,Interpedia,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Interpedia,Other channel,20000,Donor country-based NGO
22000,2018181622,NP708,2018,C01,ODA Grants,Finland,Nepal,0.121987,0.0253261,I.5.a. Government & Civil Society-general,Legal and judicial development,F.a: Koshish: Strengthening Stakeholder Capacity Psychosocial Disability Rights in Legal Framework,F.A: KOSHISH: STRENGTHENING STAKEHOLDER CAPACITY PSYCHOSOCIAL DISABILITY RIGHTS IN LEGAL FRAMEWORK,"Persons with psychosocial disability face daily barriers in society, exacerbated by lack of psychosocial disability friendly laws in Nepal. KOSHISH carried out a study to outline the gaps in the Nepali legal framework within the context of the constitution of Nepal and UNCRPD. On the basis of the conclusions and recommendations of said study, KOSHISH has designed a comprehensive four year project which aims to support establishment of psychosocial disability friendly legal framework in Nepal which protects and promotes their rights. Needs based activities are outlined in this proposal for Members of Parliament, Bureaucrats, Constitutional Body members and Judges to take measures to include psychosocial disability in their agenda.",Significant gender component,Not screened,Suomen Lähetysseura ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Suomen Lähetysseura Ry,Other channel,20000,Donor country-based NGO
22000,2018000891,2018/9,2018,C01,ODA Grants,Italy,Somalia,0.00206658,0,I.5.a. Government & Civil Society-general,Legal and judicial development,A cut to diversity.,A CUT TO DIVERSITY.,"The project aims at providing sartorial skills to 14 young people, at least half of them with special needs, in order to to create a small cooperative able to sell textile products to city hotels. This will ensure economic independence, preventing illegal emigration and awareness raising on equal opportunities for disadvantaged people currently not present",Not screened,Not screened,AMEB ITALIA,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,AMEB ITALIA,Other channel,20000,Donor country-based NGO
22000,2015000139061,SCR.CTR.377582,2018,C01,ODA Grants,EU Institutions,Sierra Leone,0,0.435883,I.5.a. Government & Civil Society-general,Democratic participation and civil society,PEAK! Promoting Education for All in Kono,PEAK! PROMOTING EDUCATION FOR ALL IN KONO,"The overall objective of the action is to promote primary school structures, local actors and communities' ownership in implementing an inclusive education model to all children including vulnerable girls, children with disabilities and special education needs, out of school children and Ebola affected children in Kono district.",Significant gender component,Significant disability component,Donor country-based NGO,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2018014458A,76_49928,2018,D02,ODA Grants,United States,Ukraine,,0.0327348,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Participant Training Program (PtP) in Ukraine,PARTICIPANT TRAINING PROGRAM (PTP) IN UKRAINE,"This project provides training for up to 350 participants over five years in the United States and third countries. The $4.9 million program will focus on improving the political, social, and economic context in the country through tailored trainings, experiential learning activities, seminars, workshops, and study tours for professionals. Recent programming has included study tours to the US and countries in Western Europe on topics such as diversity and tolerance, coordination of education policy and practices, effective support for children with special needs, and pro bono legal services. World Learning is working in partnership with the Ukrainian organization Consortium for Enhancement of Ukrainian Management Education (CEUME) and the non-profit PH International.",No gender component,Not screened,"World Learning, Inc.",Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,"World Learning, Inc.",Other channel,20000,Donor country-based NGO
22000,2018014458C,76_49928,2018,D02,ODA Grants,United States,Ukraine,,0,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Participant Training Program (PtP) in Ukraine,PARTICIPANT TRAINING PROGRAM (PTP) IN UKRAINE,"This project provides training for up to 350 participants over five years in the United States and third countries. The $4.9 million program will focus on improving the political, social, and economic context in the country through tailored trainings, experiential learning activities, seminars, workshops, and study tours for professionals. Recent programming has included study tours to the US and countries in Western Europe on topics such as diversity and tolerance, coordination of education policy and practices, effective support for children with special needs, and pro bono legal services. World Learning is working in partnership with the Ukrainian organization Consortium for Enhancement of Ukrainian Management Education (CEUME) and the non-profit PH International.",No gender component,Not screened,"World Learning, Inc.",Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,"World Learning, Inc.",Other channel,20000,Donor country-based NGO
22000,2013130523,KEN6001,2018,C01,ODA Grants,Finland,Kenya,0.028386,0.0149477,I.5.a. Government & Civil Society-general,Democratic participation and civil society,F.a: Social Inclusion of Persons with Intellectual Disabilities in Kenya,F.A: SOCIAL INCLUSION OF PERSONS WITH INTELLECTUAL DISABILITIES IN KENYA,"WHAT: The project supports persons with intellectual disabilities and their families. WHY: Only 3 % of children with intellectual disabilities go to school in Kenya. Their families are often their only social circle. The parents of children with intellectual disabilities are also stigmatized by society. HOW: In this project the goal is to raise awareness about intellectual disability through different campaigns and materials. Cultural events and information meetings are organised in order to improve the self-esteem and possibilities of inclusion for persons with intellectual disabilities. The project benefits persons with intellectual disabilities and their families, whose milieu expands due the dissipation of stigma. PARTNER ORGANISATION: The project is implemented by Kenyan Association for the intellectually handicapped (KAIH).",Significant gender component,Principal disability component,Disability Partnership Finland ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Disability Partnership Finland Ry,DPO,20000,Donor country-based NGO
22000,2017170425,17AA078,2018,C01,ODA Grants,Finland,Bangladesh,0,0.00110282,I.5.a. Government & Civil Society-general,Democratic participation and civil society,F.a: Chhadak (Light) - Developing special needs education for the underpriviledged children with autism and other disabilities,F.A: CHHADAK (LIGHT) - DEVELOPING SPECIAL NEEDS EDUCATION FOR THE UNDERPRIVILEDGED CHILDREN WITH AUTISM AND OTHER DISABILITIES,"Children and youth with autism or other disabilities of indigenous background living in Rangamati Hill District in Bangladesh will be provided education. Project will develop peer support and training for parents, training for teachers, health and rehabilitation services for children and conduct advocacy activities.",Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,ABILIS Foundation,DPO,20000,Donor country-based NGO
22000,2018003561-2,009-117546-B,2018,C01,ODA Grants,Spain,Mozambique,0.041817,0.0246037,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Passport for life For a quality primary school,PASSPORT FOR LIFE FOR A QUALITY PRIMARY SCHOOL,"La propuesta tiene como objetivo general contribuir al fortalecimiento y mejora del derecho a una Enseñanza Básica en Mozambique. Para ello, centra su actuación en el Distrito de Nhlamankulu, uno de los distrititos más poblados y marginados de la capital.En el distrito se han seleccionado cuatro escuelas públicas primarias situadas en dos de los barrios más conflictivos de Maputo, pero muy conocidos por CESAL y por el Socio local, Khandlelo. El objetivo específico es mejorar las dimensiones de calidad y aceptabilidad del derecho humano a la educación a través del desarrollo de programas curriculares e infraestructuras sostenibles en estas escuelas que fomenten unaeducación proactiva, inclusiva y con valores de género y medioambientales, desde un enfoque de derechos humanos y con una gestión participativa en las escuelas. El primer resultado, centrado en la dimensión de aceptabilidad, hace referencia al desarrollo e implementación de dos programas: un programa psicopedagógico que sea capaz de incluir, integrar y de mejorar el rendimiento escolar de las/los alumnos/as con necesidades especiales en cada escuela, y un programa de refuerzo escolar eintegración que contribuirá a una mejor integración de los alumnos/as con necesidades especiales de los últimos cursos de primaria (6º y 7º). Ambos programas incorporan el enfoque de género, medioambiental y de inclusión. El segundo resultado, pretende fortalecer institucionalmente a los Servicios Distritales y a los Consejos Escolares, para un mejor conocimiento de sus funciones y competencias y para la puesta en marcha de una Red Distrital de Consejos Escolares en Nhlamankulu. Este resultado aborda la dimensión de calidad. Por último, el tercer resultado, orientado a la dimensión de participación, instaurará un proceso de gestión transparente, participativa y democrática en la escuela, promoviendo así la identificación y la solución de conflictos de forma consensuada entre los actores. Cada uno de estos resultados contempla incentivar laparticipación de toda la comunidad escolar para una adecuada gestión de la Enseñanza.",Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,intellectual,Mixed,CESAL,Other channel,20000,Donor country-based NGO
22000,2010100062,89800106,2018,C01,ODA Grants,Finland,"Bilateral, unspecified",2.74274,,I.5.a. Government & Civil Society-general,Human rights,The development cooperation programme of Disability Partnership Finland,THE DEVELOPMENT COOPERATION PROGRAMME OF DISABILITY PARTNERSHIP FINLAND,The development cooperation programme of Disability Partnership Finland is human rights transformative and based on the United Nations Convention of the Rights of Persons with Disabilities (CRPD) that entered into force in 2008.The impact statement of the programme is the same as the organisation's vision: A world where the human rights of people with disabilities are fulfilled and where people with disabilities work themselves to develop their own communities at local national and international levels.The progamme's five outcomes are:Programme Outcome 1: Able Organizations  DPOs represent their members and are reliable partners for the stakeholders. Programme Outcome 2: Advocacy for Inclusion DPOs and their stakeholders are committed to and increasingly capable of promoting the full realization of all human rights for all persons with disabilities (CRPD Article 4).  Programme Outcome 3: Education and Learning  Schools and training centres provide inclusive formal or non-formal education to children youth and adults with disabilities. Programme Outcome 4: Work and Livelihood Persons with disabilities have a livelihood and can financially support themselves and their families. Programme Outcome 5: Crosscutting outcome: Gender Equality Gender based discrimination is eradicated in the work of DPOs. The Programme is implemented by all eight full members of Disability Partnership Finland (in the order of the size of their development cooperation budget: Finnish Association of the Deaf (FAD)  Threshold Association Finnish Association of People with Physical Disabilities (FPD) Finnish Federation of the Visually Impaired (FFVI) Finnish Federation of Swedish Speaking Hard of Hearing Finnish Association on Intellectual and Developmental Disabilities (FAIDD) Finnish-Swedish Association for Persons with Intellectual Disability (FDUV) and Finnish Epilepsy Association) and their 23 sister or partner organisations in the Global South. A total of 23 projects will be implemented in 15 countries or regions. One joint project is in planning.,Significant gender component,Principal disability component,Disability Partnership Finland ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Disability Partnership Finland Ry,DPO,20000,Donor country-based NGO
22000,2014000067301,SCR.CTR.365188,2018,C01,ODA Grants,EU Institutions,Belarus,0,0.0488944,I.5.a. Government & Civil Society-general,Human rights,De-institutionalization as an opportunity to promote Human Rights of People with Intellectual and/or Psychosocial Disabilities in Belarus,DE-INSTITUTIONALIZATION AS AN OPPORTUNITY TO PROMOTE HUMAN RIGHTS OF PEOPLE WITH INTELLECTUAL AND/OR PSYCHOSOCIAL DISABILITIES IN BELARUS,"The project is aimed to support human dignity and contribute to enforcement of economic, social and other rights of people with intellectual or psychosocial disabilities (PIPD) and to foster systematic compliance with international human rights standards, values and best practices in the field of treatment and social care of PIPD.",No gender component,Principal disability component,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2018181633,TZ706,2018,C01,ODA Grants,Finland,Tanzania,0.406624,0.100131,I.5.a. Government & Civil Society-general,Human rights,F.a: Strengthening Livelihood for Children and Youth with Disabilities around Usambara Mountains,F.A: STRENGTHENING LIVELIHOOD FOR CHILDREN AND YOUTH WITH DISABILITIES AROUND USAMBARA MOUNTAINS,"Tanzania observes rights of disabled people in legislation, however these rights are not fully realized at grass roots level, and in particular the situation of rural disabled people is difficult. Reasons are lack of necessary knowhow and resources among municipal decision makers, parents of disabled children, teachers, and other local community influential people. Additionally, schools are often inaccessible and teachers lack skills to work with disabled children. Many disabled children thus are left without possibility of studying. Additionally in traditional culture children are often isolated from all social networks and their development is thus slowed or prevented. The traditional operating model is contrary to human rights and through this project traditional operating models are changed to realize human rights of disabled people. Expected development effects: realization of the human rights of disabled people in Lushoto province. Results of activities (i) community integration of rehabilitated disabled people, (ii) growth in skills of kindergarten and elementary school teachers to work with disbled children, and disabled children are able to attend school, (iii) improved health status of disabled children, and (iv) local leaders and civil servants are aware of Tanzanian disability legislation and implement the rights of disabled people in education. There are 2520 beneficiaries of the project (1045W ja 845M as carers of disabled children, including disabled youth and children 300G ja 330B) and 792 bearers of responsibility. 6860 individual benefit from the project indirectly. The target groups are disabled people, key individuals of organizations, and civil servants. The project is implemented by the northern diocese of the Church of Tanzanie, which is a forerunner in advocating for the rights of disabled people in Tanzania. The know-how of two of the churchs institutions is joined in this project: the know-how of the Rainbow school for developmentally disabled children in detective and community based disability work and the know-how of the Sebastian Kolowa Memorial University in special education and advocacy. Through cooperation, the right to livelihood of disabled people are strengthened through  rehabilitation and education, because the project affects, in addition to families and local communitites, also the increase in know-how of realization of rights of disabled people among responsible authorities, teachers, and local community leaders.",Significant gender component,Not screened,Suomen Lähetysseura ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Suomen Lähetysseura Ry,Other channel,20000,Donor country-based NGO
22000,2018180216,28235892,2018,C01,ODA Grants,Finland,Tanzania,0.0546686,0,I.5.a. Government & Civil Society-general,Human rights,Promoting vocational training for youth with intellectual disabilitiy in Tanzania,PROMOTING VOCATIONAL TRAINING FOR YOUTH WITH INTELLECTUAL DISABILITIY IN TANZANIA,1. Young persons with intellectual disability (ID) have neither rights nor possibilities to get access to pre-vocational education/vocational education and thus lack possibilities to work and earn a living. 2. The project outcomes are: Pre-vocational/vocational education possibilities for youngsters with ID exist in all vocational training centers in the project area. The rights to pre-vocationa/vocational education for the target group are acknowledged. The main project activities include - in-service training for vocational teachers focused on teaching students with ID - mainstreaming courses on special needs education into regular vocational teacher education curriculum-creating and organizing special groups and inclusive teaching possibilities for pre-vocational/vocational education in the vocational training centers in the project area- organizing activities to increase awareness on the rights of persons with ID among responsible education authorities community leaders schools work places and families. 3. The project improves gender equality by focusing especially on girls and women.4. Partners in Finland are FDUV and Kehitysvammaliitto which have knowledge about the target group and experience of work with the target group in East-Africa Optima (special vocational training) and ÅA (special vocational teacher education). Optima and ÅA have knowledge about education and in-service training related to the target group. Local cooperation partners are TAMH (Tanzania Association for Mentally Handicapped) MWAYDEO:s (Mafiga Women and Youth Development Oreganization) (VETA (Vocational Education Teaching Authority) and IAE (Institute of Adult Education). TAMH has local knowledge about the target group MWAYDEO has knowledge of marginalized groups especially women and girls and VETA and IAE have the national responsibility in the field. The project strengthens MWAYDEO:s and TAMH:s work for human rights and VETA:s and IAE:s knowledge and preparedness related to education and training of the target group.5. Youngsters especially girls with intellectual disability.,Significant gender component,Principal disability component,Vaasan Kehitysmaaseura ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Vaasan Kehitysmaaseura Ry,Other channel,20000,Donor country-based NGO
22000,2013130523,KEN6001,2018,C01,ODA Grants,Finland,Kenya,0.028386,0.0149477,I.5.a. Government & Civil Society-general,Human rights,F.a: Social Inclusion of Persons with Intellectual Disabilities in Kenya,F.A: SOCIAL INCLUSION OF PERSONS WITH INTELLECTUAL DISABILITIES IN KENYA,"WHAT: The project supports persons with intellectual disabilities and their families. WHY: Only 3 % of children with intellectual disabilities go to school in Kenya. Their families are often their only social circle. The parents of children with intellectual disabilities are also stigmatized by society. HOW: In this project the goal is to raise awareness about intellectual disability through different campaigns and materials. Cultural events and information meetings are organised in order to improve the self-esteem and possibilities of inclusion for persons with intellectual disabilities. The project benefits persons with intellectual disabilities and their families, whose milieu expands due the dissipation of stigma. PARTNER ORGANISATION: The project is implemented by Kenyan Association for the intellectually handicapped (KAIH).",Significant gender component,Principal disability component,Disability Partnership Finland ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Disability Partnership Finland Ry,DPO,20000,Donor country-based NGO
22000,2016001166,QZA-15/0470-10,2018,B01,ODA Grants,Norway,"South of Sahara, regional",,0.187542,I.5.a. Government & Civil Society-general,Human rights,Strenghtening Inclusion Africa,STRENGHTENING INCLUSION AFRICA,To promote and secure the rights of people with developmental disabilities in Southern and Eastern Africa through a regional network that facilitates the exchange of information and experience.,No gender component,Principal disability component,Atlas-alliansen,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Atlas-alliansen,DPO,20000,Donor country-based NGO
22000,2017170341,16AF198-FT,2018,C01,ODA Grants,Finland,Ghana,0,0.000252231,I.5.a. Government & Civil Society-general,Human rights,F.a: Promote Inclusion of Persons with Intellectual Disability in decision making,F.A: PROMOTE INCLUSION OF PERSONS WITH INTELLECTUAL DISABILITY IN DECISION MAKING,"This project is to provide support to parents with children with intellectual disabilities, and to provide information about intellectual disability and the rights of persons with intellectual disabilities to parents, local authorities and opinion leaders. 4 Education workshops and 1 meeting will be carried out with these actors to transfer relevant information",Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,ABILIS Foundation,DPO,20000,Donor country-based NGO
22000,2018001927,QZA-18/0159-2,2018,B01,ODA Grants,Norway,China (People's Republic of),0.0336125,0.0202652,I.5.a. Government & Civil Society-general,Human rights,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,"The project aims at fulfilling, protecting and promoting the rights and well-being of persons with intellectual disabilities (PIDs) in Nanjing in China through developing a model day care center, training day care center staff, mobilizing parents, interacting with local governmental officials and conducting awareness raising activities in public. The target groups are primarily PIDs (from the age of 16), PIDs' parents and staff in day care centers.",No gender component,Principal disability component,Digni,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Digni,Other channel,20000,Donor country-based NGO
22000,2018001049,QZA-12/0763-322,2018,B01,ODA Grants,Norway,China (People's Republic of),0.00541127,0.00522082,I.5.a. Government & Civil Society-general,Human rights,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,Awareness-making activities to promote rights for people with intellectual disabilities and their parents. Directed towards target groups and local government officials.,No gender component,Principal disability component,Digni,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Digni,Other channel,20000,Donor country-based NGO
22000,2018181611,KH704,2018,C01,ODA Grants,Finland,Cambodia,0.0650598,0.0131464,I.5.a. Government & Civil Society-general,Human rights,F.a: Community-based support for children with disabilities,F.A: COMMUNITY-BASED SUPPORT FOR CHILDREN WITH DISABILITIES,"In Cambodia, children and youth with disabilities and their families often live in the margins of their community. Only 3% of disabled children start school and more than half of them drop out in 1-3 years. Countryside is almost totally lacking educational and supporting services for severely disabled children and ignorance and discriminating attitudes cause enormous barriers to their  wellbeing. Without the support of community, parents and authorities, the children dont have possibility to develop their skills physically, socially or educationally.The project enhances the rights of children with severe disabilities (such as CP, autistic or intellectual dispability) by training communities and their leaders on disability issues and the rights of persons with disabilities, by supporting community-based activity-centres for integarted education and inclusive education in local schools as well as home based care, in Kampot and Kratie provinces. The work of the project implementer Komar Pikar Foundation (KPF) has proved that by community based solutions even the severely disabled children and their families can have access to education and supporting services and the discrimination can be reduced. As result of the project the children with severe disabilities are accepted as part of their communities, they have possibility to learn and develop their skills and have better access to e.g. health services.  The financial status of the families improves and discrimination is reduced.",Significant gender component,Not screened,Suomen Lähetysseura ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Suomen Lähetysseura Ry,Other channel,20000,Donor country-based NGO
22000,2017000308,QZA-15/0477-357,2018,B01,ODA Grants,Norway,Afghanistan,0.0244208,0.0366312,"I.5.b. Conflict, Peace & Security","Civilian peace-building, conflict prevention and resolution",Promoting youth leadership and a culture of peace through sports,PROMOTING YOUTH LEADERSHIP AND A CULTURE OF PEACE THROUGH SPORTS,"The project will target 1,000 girls and boys between the age of 8 and 18 from all social and ethnic groups to address girls and boys who have not attended school and children with special needs, not excluding school children",Principal gender component,No disability component,Kirkens Nødhjelp,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Kirkens Nødhjelp,Other channel,20000,Donor country-based NGO
22000,2017001866,200/e 2017,2018,B01,ODA Grants,Italy,Bosnia and Herzegovina,,0.00777747,I.6. Other Social Infrastructure & Services,Social Protection,MIR project: improving social inclusion and reconciliation in Bosnia and Herzegovina,MIR PROJECT: IMPROVING SOCIAL INCLUSION AND RECONCILIATION IN BOSNIA AND HERZEGOVINA,"Improvement of home care and palliative care services to seriously ill elderly people, social assistance and integration of children with physical and mental disabilities through after-school activities, outings and the organization of theater workshops",No gender component,Not screened,Unione delle Chiese Metodiste e Valdesi - 8XMILLE,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Unione Delle Chiese Metodiste E Valdesi - 8XMILLE,Other channel,20000,Donor country-based NGO
22000,2015000339003,SCR.CTR.394358,2018,C01,ODA Grants,EU Institutions,Moldova,0,0.74707,I.6. Other Social Infrastructure & Services,Social Protection,Better Social services through a sustainable partnership between the civil society and the government,BETTER SOCIAL SERVICES THROUGH A SUSTAINABLE PARTNERSHIP BETWEEN THE CIVIL SOCIETY AND THE GOVERNMENT,The project is aiming to empower local civil society actors and public authorities (PAs) to promote and implement innovative solutions aimed at advancing social inclusion of persons with mental disabilities and vulnerable children.,Significant gender component,Significant disability component,Donor country-based NGO,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2018010028,MD-2018-003-DO-16010,2018,C01,ODA Grants,Czech Republic,Moldova,0.167959,0.167959,I.6. Other Social Infrastructure & Services,Social Protection,Aid for children with autistic spectrum disorder (ASD) and other genetic disorder in Moldova,AID FOR CHILDREN WITH AUTISTIC SPECTRUM DISORDER (ASD) AND OTHER GENETIC DISORDER IN MOLDOVA,"The purpose of the project is to increase the quality and availability of services provided to children with autism and other genetic disorders and to their parents/caretakers in the Republic of Moldova as well as to improve the quality, access and sustainability of social services provided to the children and their families.",No gender component,Principal disability component,ADRA,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,family,Not advocacy,intellectual,Family,ADRA,Other channel,20000,Donor country-based NGO
22000,2017010398,MD-2015-125-DO-16010,2018,C01,ODA Grants,Czech Republic,Moldova,0.0893508,0.0893508,I.6. Other Social Infrastructure & Services,Social Protection,SUPPORT OF TRANSFORMATION PROCESS OF CARE FOR PEOPLE WITH MENTAL DISORDERS AND PEOPLE WITH LEARNING DIFFICULTIES IN MOLDOVA,SUPPORT OF TRANSFORMATION PROCESS OF CARE FOR PEOPLE WITH MENTAL DISORDERS AND PEOPLE WITH LEARNING DIFFICULTIES IN MOLDOVA,"Project  Support of transformation process of care for people with mental disorders and people with learning difficulties in Moldova is a response to a desperate situation in social care institutions for handicapped people. The intention of the project is to improve the conditions of life of people with disabilities and mental illness with an emphasis on respect for human rights. The aim of the project is to improve a professionalism of stakeholders to perform transformational changes of care for people with mental disorders and learning difficulties in Moldova through creating Action plans for transformation, trainings, internships, consultations and written recommendations to preparation and implementation the Strategy of mental health care reform and social protection system.",Significant gender component,Principal disability component,Center for Mental Health Care Development,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Center For Mental Health Care Development,DPO,20000,Donor country-based NGO
22000,2017500073,8108-01/2017,2018,C01,ODA Grants,Austria,Moldova,0,0.0388151,I.6. Other Social Infrastructure & Services,Social Protection,Community-based social inclusion and empowerment of people with intellectual disabilities and their families,COMMUNITY-BASED SOCIAL INCLUSION AND EMPOWERMENT OF PEOPLE WITH INTELLECTUAL DISABILITIES AND THEIR FAMILIES,People with intellectual handicaps and their families will be strengthen in their self-determination and reach higher acceptance in their society (District Buiucani in Chisinau),Significant gender component,Not screened,Diakonie - Austria,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Diakonie - Austria,Other channel,20000,Donor country-based NGO
22000,2018004042,201675230,2018,B01,ODA Grants,Germany,Chad,0,0.120715,I.6. Other Social Infrastructure & Services,Social Protection,Education program for an social inclusion of children and students with special needs in Tchad,EDUCATION PROGRAM FOR AN SOCIAL INCLUSION OF CHILDREN AND STUDENTS WITH SPECIAL NEEDS IN TCHAD,Education program for an social inclusion of children and students with special needs in Tchad,Significant gender component,Not screened,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
